FAIZALNAGARA,STATE BANK,PADIL;NAGURI;KANKANADY;JYOTHI CIRCLE;,18:35,19:08,9.1
STATE BANK,JALLIGUDDE,JYOTHI CIRCLE;KANKANADY;NAGURI;PADIL,19:20,19:53,9.8
JALLIGUDDE,STATE BANK,PADIL;NAGURI;KANKANADY;JYOTHI CIRCLE;,20:10,20:43,9.8
STATE BANK,MUDIPU,PUMPWELL;THOKKOTTU;BIRI;DERALAKATTE,07:45,08:58,29.3
MUDIPU,STATE BANK,DERALAKATTE;BIRI;THOKKOTTU;PUMPWELL;,09:15,10:28,29.3
STATE BANK,MUDIPU,PUMPWELL;THOKKOTTU;BIRI;DERALAKATTE,10:47,12:00,29.3
MUDIPU,STATE BANK,DERALAKATTE;BIRI;THOKKOTTU;PUMPWELL;,12:12,13:25,29.3
STATE BANK,MUDIPU,PUMPWELL;THOKKOTTU;BIRI;DERALAKATTE,13:51,15:04,29.3
MUDIPU,STATE BANK,DERALAKATTE;BIRI;THOKKOTTU;PUMPWELL;,15:14,16:27,29.3
STATE BANK,MUDIPU,PUMPWELL;THOKKOTTU;BIRI;DERALAKATTE,16:37,17:50,29.3
MUDIPU,STATE BANK,DERALAKATTE;BIRI;THOKKOTTU;PUMPWELL;,18:00,19:13,29.3
STATE BANK,SOMESHWARA,PUMPWELL;THOKKOTTU;ULLALAALA,07:00,07:42,15.2
SOMESHWARA,STATE BANK,ULLALAALA;THOKKOTTU;PUMPWELL;,07:50,08:32,15.2
STATE BANK,SOMESHWARA,PUMPWELL;THOKKOTTU;ULLALAALA,08:40,09:22,15.2
SOMESHWARA,STATE BANK,ULLALAALA;THOKKOTTU;PUMPWELL;,09:32,10:14,15.2
STATE BANK,SOMESHWARA,PUMPWELL;THOKKOTTU;ULLALAALA,10:23,11:05,15.2
SOMESHWARA,STATE BANK,ULLALAALA;THOKKOTTU;PUMPWELL;,11:11,11:53,15.2
STATE BANK,SOMESHWARA,PUMPWELL;THOKKOTTU;ULLALAALA,11:58,12:40,15.2
SOMESHWARA,STATE BANK,ULLALAALA;THOKKOTTU;PUMPWELL;,13:00,13:42,15.2
STATE BANK,SOMESHWARA,PUMPWELL;THOKKOTTU;ULLALAALA,14:00,14:42,15.2
SOMESHWARA,STATE BANK,ULLALAALA;THOKKOTTU;PUMPWELL;,14:55,15:37,15.2
STATE BANK,SOMESHWARA,PUMPWELL;THOKKOTTU;ULLALAALA,15:45,16:27,15.2
SOMESHWARA,STATE BANK,ULLALAALA;THOKKOTTU;PUMPWELL;,16:35,17:17,15.2
STATE BANK,SOMESHWARA,PUMPWELL;THOKKOTTU;ULLALAALA,17:25,18:07,15.2
SOMESHWARA,STATE BANK,ULLALAALA;THOKKOTTU;PUMPWELL;,18:15,18:57,15.2
STATE BANK,THALAPADY,PUMPWELL;THOKKOTTU,06:30,07:27,17
THALAPADY,STATE BANK,THOKKOTTU;PUMPWELL;,07:31,08:28,17
STATE BANK,THALAPADY,PUMPWELL;THOKKOTTU,08:36,09:33,17
THALAPADY,STATE BANK,THOKKOTTU;PUMPWELL;,09:37,10:34,17
STATE BANK,THALAPADY,PUMPWELL;THOKKOTTU,10:37,11:34,17
THALAPADY,STATE BANK,THOKKOTTU;PUMPWELL;,11:46,12:43,17
STATE BANK,THALAPADY,PUMPWELL;THOKKOTTU,13:15,14:12,17
THALAPADY,STATE BANK,THOKKOTTU;PUMPWELL;,14:30,15:27,17
STATE BANK,THALAPADY,PUMPWELL;THOKKOTTU,15:45,16:42,17
THALAPADY,STATE BANK,THOKKOTTU;PUMPWELL;,17:00,17:57,17
STATE BANK,KINYA,PUMPWELL;THOKKOTTU;BIRI;KC ROAD,15:38,16:39,19
KINYA,STATE BANK,KC ROAD;BIRI;THOKKOTTU;PUMPWELL;,16:49,17:50,19
STATE BANK,KINYA,PUMPWELL;THOKKOTTU;BIRI;KC ROAD,18:01,19:02,19
KINYA,STATE BANK,KC ROAD;BIRI;THOKKOTTU;PUMPWELL;,19:05,20:06,19
STATE BANK,KINYA,PUMPWELL;THOKKOTTU;BIRI;KC ROAD,20:11,21:12,19
